"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012295","BIALYSTOK, PL","2024-05-13","0.00",,"53","68","34"
"PLM00012295","BIALYSTOK, PL","2024-05-14","0.00",,"54","67","38"
"PLM00012295","BIALYSTOK, PL","2024-05-15","0.00",,"55","66","38"
"PLM00012295","BIALYSTOK, PL","2024-05-16","0.00",,"56","67",
"PLM00012295","BIALYSTOK, PL","2024-05-17","0.00",,"57","71","38"
"PLM00012295","BIALYSTOK, PL","2024-05-18","0.00",,"61","76","42"
"PLM00012295","BIALYSTOK, PL","2024-05-19","0.00",,"62","77","44"
"PLM00012295","BIALYSTOK, PL","2024-05-20","0.55",,"60","76","48"
"PLM00012295","BIALYSTOK, PL","2024-05-21","0.00",,"62","77","50"
"PLM00012295","BIALYSTOK, PL","2024-05-22","0.00",,"68","79","53"
"PLM00012295","BIALYSTOK, PL","2024-05-23",,,"71","80","64"
"PLM00012295","BIALYSTOK, PL","2024-05-24","0.00",,"70","83","59"
"PLM00012295","BIALYSTOK, PL","2024-05-25","0.30",,"67","77","57"
"PLM00012295","BIALYSTOK, PL","2024-05-26","0.00",,"67","78",
"PLM00012295","BIALYSTOK, PL","2024-05-27","0.00",,"67","81","47"
"PLM00012295","BIALYSTOK, PL","2024-05-28","0.00",,"68","82","49"
"PLM00012295","BIALYSTOK, PL","2024-05-29","0.00",,"67","79","54"
"PLM00012295","BIALYSTOK, PL","2024-05-30","0.06",,"66","81","53"
"PLM00012295","BIALYSTOK, PL","2024-05-31","0.01",,"63","73","53"
"PLM00012295","BIALYSTOK, PL","2024-06-01","0.00",,"64","77","52"
"PLM00012295","BIALYSTOK, PL","2024-06-02","0.12",,"63","74","51"
"PLM00012295","BIALYSTOK, PL","2024-06-03","0.00",,"64","74","55"
"PLM00012295","BIALYSTOK, PL","2024-06-04","0.00",,"65","74","56"
"PLM00012295","BIALYSTOK, PL","2024-06-05","0.00",,"66","77",
"PLM00012295","BIALYSTOK, PL","2024-06-06","0.03",,"60","71",
"PLM00012295","BIALYSTOK, PL","2024-06-07","0.07",,"62","72","50"
"PLM00012295","BIALYSTOK, PL","2024-06-08","0.02",,"60","71",
"PLM00012295","BIALYSTOK, PL","2024-06-09","0.00",,"62","75","49"
"PLM00012295","BIALYSTOK, PL","2024-06-10","0.00",,"59","67","47"
"PLM00012295","BIALYSTOK, PL","2024-06-11","0.03",,"63","75",
"PLM00012295","BIALYSTOK, PL","2024-06-12","0.00",,"58","69","45"
"PLM00012295","BIALYSTOK, PL","2024-06-13","0.08",,"56","69","43"
"PLM00012295","BIALYSTOK, PL","2024-06-14","0.08",,"58","68","45"
"PLM00012295","BIALYSTOK, PL","2024-06-15","0.00",,"62","74","47"
"PLM00012295","BIALYSTOK, PL","2024-06-16","0.00",,"65","79","49"
"PLM00012295","BIALYSTOK, PL","2024-06-17","0.00",,"67","80","53"
"PLM00012295","BIALYSTOK, PL","2024-06-18","0.00",,"70","81","55"
"PLM00012295","BIALYSTOK, PL","2024-06-19","0.04",,"68","86",
"PLM00012295","BIALYSTOK, PL","2024-06-20","0.10",,"61","72","53"
"PLM00012295","BIALYSTOK, PL","2024-06-21","0.00",,"66","80","48"
"PLM00012295","BIALYSTOK, PL","2024-06-22","0.00",,"67","77","57"
"PLM00012295","BIALYSTOK, PL","2024-06-23","0.37",,"62","70","57"
"PLM00012295","BIALYSTOK, PL","2024-06-24","0.04",,"62","68","57"
"PLM00012295","BIALYSTOK, PL","2024-06-25","0.01",,"65","77","58"
"PLM00012295","BIALYSTOK, PL","2024-06-26","0.00",,"71","83","55"
"PLM00012295","BIALYSTOK, PL","2024-06-27","0.00",,"74","86","56"
"PLM00012295","BIALYSTOK, PL","2024-06-28","0.00",,"76","90","60"
"PLM00012295","BIALYSTOK, PL","2024-06-29","0.55",,"71","81",
"PLM00012295","BIALYSTOK, PL","2024-06-30","0.00",,"76","90","56"
"PLM00012295","BIALYSTOK, PL","2024-07-01","0.02",,"69","84",
"PLM00012295","BIALYSTOK, PL","2024-07-02","0.04",,"61","68",
"PLM00012295","BIALYSTOK, PL","2024-07-03","0.00",,"62","71","48"
"PLM00012295","BIALYSTOK, PL","2024-07-04","0.00",,"65","74","56"
"PLM00012295","BIALYSTOK, PL","2024-07-05","0.20",,"62","71","54"
"PLM00012295","BIALYSTOK, PL","2024-07-06","0.00",,"71","82","55"
"PLM00012295","BIALYSTOK, PL","2024-07-07","0.00",,"72","85",
"PLM00012295","BIALYSTOK, PL","2024-07-08","0.15",,"67","80",
"PLM00012295","BIALYSTOK, PL","2024-07-09","0.00",,"71","85","55"
"PLM00012295","BIALYSTOK, PL","2024-07-10","0.00",,"76","87","57"
"PLM00012295","BIALYSTOK, PL","2024-07-11","0.83",,"77","93",
"PLM00012295","BIALYSTOK, PL","2024-07-12","0.08",,"74","84","65"
"PLM00012295","BIALYSTOK, PL","2024-07-13","0.05",,"75","85",
"PLM00012295","BIALYSTOK, PL","2024-07-14","0.02",,"67","77","62"
"PLM00012295","BIALYSTOK, PL","2024-07-15","0.05",,"71","84","59"
"PLM00012295","BIALYSTOK, PL","2024-07-16","0.00",,"76","88","62"
"PLM00012295","BIALYSTOK, PL","2024-07-17","0.26",,"74","83","66"
"PLM00012295","BIALYSTOK, PL","2024-07-18","0.00",,"71","80",
"PLM00012295","BIALYSTOK, PL","2024-07-19","0.00",,"69","78","59"
"PLM00012295","BIALYSTOK, PL","2024-07-20","0.00",,"68","79","51"
"PLM00012295","BIALYSTOK, PL","2024-07-21","0.00",,"71","84","54"
"PLM00012295","BIALYSTOK, PL","2024-07-22","0.00",,"74","87","58"
"PLM00012295","BIALYSTOK, PL","2024-07-23","0.00",,"72","80","64"
"PLM00012295","BIALYSTOK, PL","2024-07-24","0.00",,"71","80","64"
"PLM00012295","BIALYSTOK, PL","2024-07-25","0.04",,"67","74","61"
"PLM00012295","BIALYSTOK, PL","2024-07-26","0.00",,"66","72",
"PLM00012295","BIALYSTOK, PL","2024-07-27","0.00",,"71","82","57"
"PLM00012295","BIALYSTOK, PL","2024-07-28","0.17",,"65","73",
